panel_id,n_characters
00000573,0
0000e6f3,0
0000e768,0
000169ef,0
000172b4,0
0001abd4,0
0001b10b,0
0001a63c,0
0001f0b9,0
0002357b,0
0002952e,0
0002c6ce,0
0002d9d2,0
00030d82,0
0002faea,0
0003076c,0
00032c71,0
000345d7,0
0003e0aa,0
000506ba,0
0005528b,0
0006e0f6,0
0006ed10,0
00071ece,0
00072e56,0
000756e8,0
0007a9a4,0
0007aa46,0
0008072f,0
0007fda3,0
00000ece,0
000011a1,0
00008ece,0
00008b14,0
0000eeb1,0
0000fec2,0
0001290f,0
00012966,0
0001234d,0
00014444,0
00014844,0
0001b69b,0
000206ac,0
0002f6ae,0
0002e5d1,0
0003d6a2,0
0003da4f,0
00047b3f,0
000478b4,0
0004d439,0
0004d488,0
0004f161,0
00050188,0
000535b2,0
00053579,0
000533fb,0
0006050d,0
00066415,0
00065fb4,0
00066e75,0
0006811a,0
00067c11,0
00069c90,0
0006a8da,0
0006be7d,0
0006c235,0
0006f4ba,0
0006f19d,0
0006ff00,0
0007bda8,0
0007bc7a,0
0007be1f,0
0007f6a9,0
00080e58,0
000808a3,0
00080fb4,0
00006042,0
000062db,0
00007beb,0
00007a58,0
0000b198,0
0000a1a2,0
0000bb5b,0
00011920,0
00018a45,0
00017de7,0
0001c5f5,0
0001d566,0
00021fd8,0
000227c2,0
00023ebb,0
00026d7b,0
00025e23,0
00036819,0
00038820,0
0003f367,0
0004282e,0
00048a1a,0
0005269b,0
0005181b,0
0005e079,0
00062bf1,0
00078386,0
00076c1f,0
00004b07,0
000046d0,0
00004961,0
00004b62,0
00019456,0
0003b0e6,0
0003b284,0
0003bdd7,0
0003c0a8,0
0003c04e,0
0003b898,0
0003c57d,0
0004ab9d,0
0004b36d,0
0004ad3a,0
0004aacb,0
0004b9a6,0
0004c295,0
0004be6e,0
0004df7d,0
000543d3,0
0005427f,0
00058b78,0
00058226,0
0005906d,0
0005abbe,0
0005ae49,0
0005a43a,0
0005cd2c,0
0005bab4,0
0005c42e,0
0005cca2,0
0005c5cb,0
000748fe,0
0007a681,0
00079a5e,0
00079840,0
0007a41c,0
0007a09d,0
0007d2b3,0
0007ce79,0
0007d344,0
